|trigger_name|name        |error_radius|time                   |end_time               |trigger_time           |trigger_type|geo_long|geo_lat |localization_source|
|bn200907123 |TGF200907123|     34.5833|2020-09-07 02:54:16.848|2020-09-07 03:04:23.069|2020-09-07 02:56:28.563|TGF         |270.5167| 16.1167|Fermi, GBM FSW     |
|bn200904959 |TGF200904959|     50.0000|2020-09-04 22:59:21.100|2020-09-04 23:09:35.512|2020-09-04 23:01:36.542|TGF         | 77.3667| 20.4000|Fermi, GBM FSW     |
|bn200904434 |TGF200904434|     26.7000|2020-09-04 10:23:10.875|2020-09-04 10:33:25.287|2020-09-04 10:25:23.790|TGF         |287.1500| 15.1833|Fermi, GBM FSW     |
|bn200903230 |TGF200903230|     34.7000|2020-09-03 05:29:30.520|2020-09-03 05:39:44.932|2020-09-03 05:31:45.579|TGF         |280.0833| 21.3833|Fermi, GBM FSW     |
|bn200901904 |TGF200901904|     25.7500|2020-09-01 21:39:26.704|2020-09-01 21:49:41.114|2020-09-01 21:41:43.810|TGF         | 16.1500| 10.7500|Fermi, GBM FSW     |
|bn200823468 |TGF200823468|     34.8833|2020-08-23 11:11:20.305|2020-08-23 11:21:34.714|2020-08-23 11:13:37.779|TGF         |275.6000| 20.7167|Fermi, GBM FSW     |
|bn200821416 |TGF200821416|     36.8500|2020-08-21 09:57:11.456|2020-08-21 10:07:25.865|2020-08-21 09:59:29.778|TGF         |284.8167| 12.2500|Fermi, GBM FSW     |
|bn200816881 |TGF200816881|     34.9333|2020-08-16 21:06:10.787|2020-08-16 21:16:25.197|2020-08-16 21:08:27.685|TGF         |269.1167| 16.0333|Fermi, GBM FSW     |
|bn200814018 |TGF200814018|     26.1500|2020-08-14 00:23:35.726|2020-08-14 00:33:41.943|2020-08-14 00:25:47.376|TGF         |107.9667|  4.3667|Fermi, GBM FSW     |
|bn200810021 |TGF200810021|     30.7500|2020-08-10 00:27:30.942|2020-08-10 00:30:37.313|2020-08-10 00:29:42.672|TGF         |304.4500|  2.1167|Fermi, GBM FSW     |
